Название вакансии,Оклад,URL,Название компании,Метро,Описание
Senior Python Developer,,https://hh.ru/vacancy/35646436?query=python,ООО Лаборатория визуализации-Сфера,,Разработка различных backend-сервисов на Python 3+. Рефакторинг и соблюдение стандартов качества кода. Написание интеграционных и юнит-тестов.  Теоретические знания и опыт применения Python 3 +. Опыт работы реляционными СУБД. Приветствуется опыт работы с NoSQL-системами. 
Senior Python Developer,,https://hh.ru/vacancy/32876723?query=python, Admitad,,Разработка новых и развитие старых инструментов по обработке данных (больших данных). Разрабатывает на Python 3+ лет. И отлично знает Python. Имеет опыт разработки под веб бэкенд 3+ лет. 
Разработчик Python/Go (Антиспам),,https://hh.ru/vacancy/35095959?query=python," Mail.Ru Group, Почтовые сервисы",,"Разработка бекенд-сервисов, которые напрямую влияют на качество защиты наших пользователей от спама. Пара примеров: организация системы, автоматически выделяющий паттерны... Опыт backend-разработки на Python и/или Go. Знание Linux (работа с файлами, ssh, systemctl, стандартные команды обработки логов). "
Python Backend Developer,,https://hh.ru/vacancy/35467949?query=python, Admitad,,Что нужно будет делать в составе команды: - Создавать высоконагруженные сервисы (в т.ч. управлять очередями для задач на высоконагруженных сервисах). -  Было бы здорово: - Предоставить примеры исходников или ссылки на репозитории завершенных проектов на python (своих или в которых принимали участие). - 
Software Development Engineer in Test (Python),,https://hh.ru/vacancy/36013046?query=python, Лаборатория Касперского,,Тестировать инфраструктурные сервисы. Развивать существующую архитектуру автотестов. Проводить нагрузочное тестирование. Развивать CI/CD процессы. Опыт тестирования приложений или сервисов. Опыт автоматизации тестирования/разработки ПО на Python 3. Понимать цели тестирования и знать методы тестирования. 
Fullstack-разработчик в беспилотные автомобили (Python/Javascript),,https://hh.ru/vacancy/33600476?query=python, Яндекс,, Опыт кроссбраузерной разработки. Хорошее знание HTML и CSS. Знание Python и опыт написания асинхронного кода. Опыт работы в аналогичной должности...
Team Lead Python,,https://hh.ru/vacancy/36020091?query=python,ООО ЦИФРА,,"Организация разработки по трём продуктам (компьютерное зрение) и 2-3 демо-проектам. Курирование команды из 5+ разработчиков, в том... Английский язык на уровне Upper Intermediate (мы ведём международный бизнес). Опыт работы с JIRA. Понимание как работает машинное обучение в..."
Python программист,,https://hh.ru/vacancy/36015589?query=python, Group-IB,,"Разработка бекэнд-части на языке Python. Проектирование и реализация API разрабатываемых систем. Документирование разрабатываемых AP. Взаимодействие с другими участниками команды.  Отличное знание языка Python. Знание Redis/RabbitMQ/. Средние знания SQL и реляционных БД (mysql/postgresql/oracle/mssql, индексы). "
Стажер Java/C++/Python (нагрузочное тестирование),40 000-45 000 руб.,https://hh.ru/vacancy/35093583?query=python, Performance Lab (Перфоманс Лаб),,"Разработка программ, эмулирующих работу реальных пользователей на уровне сетевых протоколов (http, ODBC, SOAP, Oracle 2-Tier и др.).  Основы ООП, простейшие алгоритмы. Базовые знания Java/C++/C#/Python. Знание основ HTML/CSS/JavaScript. Знакомство с БД MS SQL..."
Senior QA Engineer (Python),,https://hh.ru/vacancy/30755737?query=python,ООО Т8,,"Анализ требований к продукту, разработка сценариев тестирования. - Разработка тестовой системы. - Разработка автоматических тестов. - Функциональное тестирование сервисов. - Настройка и поддержка тестовых... Опыт самостоятельной разработки архитектуры, тестовой системы, автоматических тестов на Python. - Знание методологий тестирования. - Хорошее знание Python. - Опыт работы с Unix..."
Python backend разработчик,от 100 000 руб.,https://hh.ru/vacancy/36001855?query=python, AdCombo.com,,"Решать технические и бизнес задачи при разработке новых и доработке существующих REST API приложений с использованием Flask, SQLAlchemy, Sanic и... Знание и опыт работы с Python, чем больше тем лучше. Анализировать чужой код и вдумчиво писать свой с учётом потенциальных..."
Senior Python Web Developer (Django/Flask),,https://hh.ru/vacancy/35651972?query=python, Ingram Micro,,Writing Python 3 & 2 effective back-end code. Cooperating with the front-end developers in the process of developing API... Excellent Python knowledge – we use Python 3.6 and 2.7. Django/Flask framework experience. Asyncio and aiohttp experience. 
Разработчик Python в команду Облака,,https://hh.ru/vacancy/35501052?query=python, КРОК,,"Разрабатывать на Python сервисы облачной платформы. Работать с гипервизором / сетями / системами хранения данных. Проектировать программные интерфейсы (API). Разрабатывать архитектуру высоконагруженных... Уверенное знание Python. Понимание основ работы сети и Linux: TCP/IP, HTTP, DNS, файловая система."
Python developer ( автоматизация CI / CD),,https://hh.ru/vacancy/34354534?query=python, Align Technology,,Разработка утилит на Python для CI/CD в облачных провайдерах (AWS). Участие в управлении средой разработки. Участие в развитии docker... Хороший опыт разработки на Python (основной язык разработки). Мы пишем на нем утилиты для автоматизации CI/CD. Базовые знания ОС...
Python разработчик (Intelligent Document Processing),,https://hh.ru/vacancy/35599414?query=python, Сбербанк для экспертов,,"Инструментирование задач машинного обучения (разметка, мониторинг и т.д). - Создание API моделей для внедрения в прод. - Написание тестов. -  Знание Python3. - Опыт работы с базами данных, SQL. - Опыт работы с Flask/Django. - Docker. - Базовое понимание ML инструментов и..."
Team lead (Python),,https://hh.ru/vacancy/35805278?query=python,АО Технологическая Компания Центр,,"Оптимизация и координация процессов разработки. Подбор специалистов-разработчиков в команду. Планирование и декомпозиция проектов/задач, оценка трудозатрат. Проработка и ревью... Уверенное знание Python, опыт разработки от 3х лет. Опыт подбора и управления командой разработчиков. Опыт разработки производительных масштабируемых сервисов. "
Team lead (Senior Python & DevOps),до 260 000 руб.,https://hh.ru/vacancy/35990603?query=python, Spice Agency,,"Организация процессов разработки и автоматизации в отделе. Организация процесса CI/CD для сервиса мониторинга. Разработка новых инструментов мониторинга.  Python 3.5+. Опыт управления командой разработки. Опыт работы с системами контейнеризации (Docker, Kubernetes). Навыки разработки и отладки асинхронного..."
Аналитик по категоризации (со знанием Python),,https://hh.ru/vacancy/33497560?query=python, Связной,,"Создание, развитие, имплементация решения по визуализации данных. Создание пула отчетов и инструментов для оценки продаж по категориям и кластерам, качества... Опыт работы от 1 года: Уверенный пользователь ПК с глубокими знаниями программного обеспечения (Microsoft Office: Word, Excel, Access, Python, OLAP..."
Python-разработчик (FinTech),,https://hh.ru/vacancy/35988480?query=python,"ПАО «МТС»,IT",,"Написать микросервис для загрузки данных из ЕХД Банка и передачи в модель. Разработать/адаптировать сканер карт. Разработать и интегрировать компонент... Python 3.5. Tornado, плюс Django и/или Flask.. PostgreSQL и Oracle. Знание Java. Опыт работы с конструкторами чат-ботов. "
Тест-инженер веб-клиента (Python + Selenium WebDriver),,https://hh.ru/vacancy/35124613?query=python,ЗАО 1С,,Тестирование UI веб-клиента (в том числе одинаковое отображение в различных браузерах и соответствие тонкому клиенту). Создание автоматических функциональных тестов... Опыт автоматизации тестирования от 2 лет. Знание Python (либо другого ЯП и желание переквалифицироваться на Python). Желательно знание основ веб...
Главный инженер Python,,https://hh.ru/vacancy/30242567?query=python,ООО Сервионика,,"Разработка и поддержка существующей и разрабатываемой платформ. Реализация бизнес-логики. Написание тестов. Решение нестандартных задач и изучение новых технологий. Имеет опыт коммерческой разработки от 3 лет. Знает Python > 3.5, ООП и паттерны проектирования. Понимает принципы многопоточности и знает..."
Ведущий инженер по автоматизированному тестированию (Python),,https://hh.ru/vacancy/35971802?query=python," Mail.Ru Group, Игры",,"Разработка и поддержание в актуальном состоянии тестовой документации. Проведение ручного, функционального тестирования веб-приложений. Разработка и поддержка инфраструктуры тестирования (Python... Опыт автоматизированного тестирования. Знание Python в объеме, необходимом для написания автотестов. Опыт составления тестовой документации. Здоровый перфекционизм. Понимание протоколов HTTP..."
Старший QA-инженер (Python),,https://hh.ru/vacancy/35626923?query=python,ООО ЧЕСТНОЕ СЛОВО,,"Автоматизация тестирования и развитие данного направления. Ручное и автомотизированое тестирование задач. Выявление дефектов ПО, постановка задач на исправление.  Python (написание и поддержка тестов). Знание методов и методик тестирования. Опыт тестирования web-приложений (frontend & backend). Знание REST, опыт тестирования..."
Тест-инженер группы автоматизированного тестирования (Python),,https://hh.ru/vacancy/35726731?query=python, Инфосистемы Джет,,Анализ требований и сопутствующей проектной документации. Разработка и согласование тест кейсов. Разработка автоматизированных тестов. Актуализация автоматизированных тестов. Подготовка тестовых данных.  Понимание принципов работы веб-сервисов (начальный уровень). Знание ЯП Python (начальный уровень). Умение работать с библиотеками Selenium и requests. 
Python Engineer / Data Engineer (Analytics Platform),,https://hh.ru/vacancy/34985625?query=python,ООО Каршеринг Руссия,,API-взаимодействие со всевозможными источниками и микросервисами. Обработка и агрегация сообщений на базе Apache Kafka (Flink). Web-парсинг.  Отличное владения Python 3 вкупе с асинхронными фреймворками. Опыт работы с Kafka. Знание SQL на уровне достаточном для взаимодействия с...
