Название вакансии,Оклад,URL,Название компании,Метро,Описание
Python Разработчик,,https://hh.ru/vacancy/35882786?query=python, Colvir Software Solutions,,"Разрабатывать сервисы интеграции, доставки и обновления продуктов компании Colvir. Frontend и backend часть. - Docker-контейнеры и Kubernetes. Gitlab CI. Что мы хотим видеть в кандидатах: - Опыт работы Python разработчиком от двух лет. - Навыки разработки микросервисов. - "
Python Developer/Analyst,1 200-3 000 USD,https://hh.ru/vacancy/33522088?query=python, LATOKEN,,"Conduct market and product research. Automate all user data collection and integration. Provide analytical support to product managers. Database maintenance.  Experience in Python and/or JavaScript. Basic knowledge of Linux/bash. Knowledge of pandas, requests, beautifulsoap, scrapy, etc. "
Программист Python,,https://hh.ru/vacancy/35726384?query=python,ООО НТБ,,"Компания является разработчиком нового для рынка продукта в области управления привилегированным доступом. Вас ожидает интересная работа в области построения алгоритмов... Предыдущий опыт и интерес создания ПО на Python, с использованием различных фреймворков. Опыт создания распределённых/микросервисных систем, понимание принципов работы..."
Программист C++/Python,от 90 000 руб.,https://hh.ru/vacancy/35909189?query=python,АО Интегрис,,"Разработка алгоритмов для интеллектуальных транспортных систем. Анализ точности и потенциала прототипов. Реализация и оптимизация алгоритмов (компьютерное зрение, машинное обучение).  Опыт работы программистом С++ или программистом-исследователем Python. Умение и желание разбираться в чужом коде. Знание базовых библиотек python как..."
Python developer,170 000-230 000 руб.,https://hh.ru/vacancy/35572180?query=python, AppQuantum,,"Разработкой собственных мобильных игр и приложений. Паблишингом мобильных игр и приложений. Рекламой и маркетингом мобильных игр и приложений.  Опыт работы Python разработчиком от 2-х лет. Наличие законченных проектов API для мобильных приложений. Желание делать красивые, интересные и..."
Senior Engineer (Python),,https://hh.ru/vacancy/36024664?query=python, Авито,,Проектировать архитектуру решений для борьбы с ботами с учётом требований по быстродействию и надёжности. Разрабатывать технически сложные решения или их... Имеете навыки разработки высоконагруженных систем на Python. Владеете SQL и способны анализировать большие объемы данных из разных источников. 
Программист Python (киберспорт),,https://hh.ru/vacancy/32493929?query=python,АО Технологическая Компания Центр,,"Разрабатывать сервисы получения потока данных от поставщиков и из публичных источников. Разрабатывать и поддерживать сервисы обработки и хранения данных.  Опыт коммерческой разработки Python от 2 лет. Знание MongoDB, Docker. Быстрая обучаемость - для решения наших задач часто приходится сталкиваться с..."
Программист Python,,https://hh.ru/vacancy/35870480?query=python,АО РТИ,,"Разработка бизнес-логики для WEB приложений. Cоздание WEB сервисов. Pешение интеграционных задач. Участие в разработке архитектуры и дизайна системы. Python (опыт разработки и отладки сервисов). GIT. Apache. Linux Debian. Будет плюсом: Опыт работы с библиотеками: GDAL, SciPy, NumPy, Flask."
Программист Back-End (Python),,https://hh.ru/vacancy/35692423?query=python, Ostec,,"Группа компаний Остек – крупнейшее в России и странах СНГ инжиниринговое предприятие, предоставляющее комплексные инженерно-консультационные услуги - от проведения аудитов предприятий... Высшее образование (профильное). Опыт работы на аналогичной позиции. Знание языка программирования Python. Владение английским языком на уровне чтения документации. "
Программист Python,,https://hh.ru/vacancy/34608956?query=python,ООО Сервионика,,"Участие в разработке платформы виртуализации на базе OpenStack. Разработка компонентов OpenStack. Взаимодействие с международным сообществом. Опыт разработки на Python от 3-х лет. Хорошее понимание объектно-ориентированной модели, опыт работы с unit-тестами. "
Web-разработчик (Python/ReactJS),от 100 000 руб.,https://hh.ru/vacancy/35988194?query=python, Федеральная антимонопольная служба,,"Разработка front-end интерфейса, как для внутренних пользователей ведомства, так и для внешних пользователей на официальном сайте. Работа с внутренними... Высшее образование. Опыт работы в качестве Web-разработчика от 1 года. Уверенные знания HTML 5, CSS 3, Java Script. "
Python разработчик,40 000-100 000 руб.,https://hh.ru/vacancy/36045894?query=python, Группа компаний «Триумф»,,"60% разработка бекенда на Python. 40% разработка веб компонентов и модулей на Javascript и WebGL. Умение логически рассуждать. Реализм, честность, прямота. Высокий уровень самоорганизации, зрелость личности. Аккуратность, перфекционизм. Амбиции. Python. Математика, линейная алгебра. Git."
Аналитик-разработчик (Python),,https://hh.ru/vacancy/35323205?query=python,АО Технологическая Компания Центр,,"Разработка математических моделей, описывающих виды спорта. Обработка статистических данных спортивных событий с целью построения будущих моделей прогнозирования. Мониторинг эффективности, стабильности... Твёрдые знания в прикладной математике: теория вероятностей, математическая статистика, теория игр, мат. моделирование. Владение Python: numpy, pandas, scipy, statsmodels, math. "
"Full-Stack developer Python, React",от 100 000 руб.,https://hh.ru/vacancy/35988263?query=python,ООО Ван,,"Работать над финтех и крипто проектами. В нашу команду ищем ответственного full stack разработчика, нацеленного на качественную работу с желанием учиться и развиваться (удаленно/remote). "
Senior Python Developer,,https://hh.ru/vacancy/35469057?query=python, ДомКлик,,"Проектировать архитектуру и разрабатывать решения по отказоустойчивости и производительности. Разрабатывать back-end для мобильных и web-приложений на Python.  Бизнес-руководство, нацеленное на результат. Анализировать и совершенствовать написанный код. Успели глубоко проникнуть в суть принципов ООП и шаблоны проектирования. "
